Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230422.png,88,117,63,87.28,116.88,62.88,3.7150504707204175,3.8504025763548415,3.6912870384189844,0
20230422.png,87,111,59,86.64,111.24,58.44,2.6514901470682495,3.744649516309904,2.9675579185586254,0
20230406.png,84,102,54,83.04,101.44,53.24,9.378613970091743,8.124432287858642,8.741990619990393,0
20230406.png,74,93,47,74.32,93.52,47.12,1.891454466805902,2.1747643550509097,1.4510685717773648,0
20230406.png,76,98,49,77.64,99.24,49.64,5.979163821137534,4.843800161030593,4.078038744298538,0
20230406.png,110,119,76,100.64,114.32,66.44,6.9217338868234455,3.3671352809175925,7.478395549848911,0
20230406.png,114,121,80,114.08,120.28,80.48,6.799529395480249,4.181100333644242,4.109695852493223,0
20230406.png,98,110,62,101.76,112.56,64.96,1.9241621553289106,1.8990523952750755,1.7771887913218447,0
20230406.png,113,132,76,109.16,128.16,70.96,6.0311192991019515,5.759722215523942,6.526744977398766,0
20230406.png,113,129,67,115.12,136.56,66.96,6.2052880674469915,5.940235685559957,7.607785485934788,0
20230406.png,99,135,61,99.72,135.12,62.12,1.7780888616714297,1.1771151175649732,2.006389792637512,0
20230321.png,89,98,67,89.96,98.44,67.8,4.828912921144883,1.3290598180668916,2.3832750575625976,0
20230321.png,86,123,71,86.4,121.76,70.68,4.261455150532503,2.6119724347703213,4.037028610252842,0
20230321.png,80,98,56,80.6,100.88,57.96,2.3323807579381204,5.908096140043764,1.7315888657530691,0
20230321.png,75,99,73,77.52,97.8,73.0,2.4677114904299486,2.0591260281974004,0.8,0
20230321.png,79,109,83,78.64,108.64,83.04,1.7861690849412881,1.7861690849412881,0.8708616422830895,0
20230321.png,113,122,101,111.32,121.68,100.16,3.895843939379502,2.222071105972984,2.7521627858831312,0
20230321.png,89,113,79,88.24,112.24,77.44,0.8138795979750321,0.8138795979750321,1.4164744967700618,0
20230311.png,34,45,28,51.84,59.88,36.32,14.024778073110463,11.873735722172698,8.85762947971973,0
20230311.png,37,55,29,42.32,60.12,34.12,8.911655289563214,13.076146221268711,7.951452697463528,0
20230311.png,69,88,42,64.76,82.48,40.88,7.474115332265083,9.355725519701826,6.008793556114239,0
